fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,total SO2,density,pH,sulphates,alcohol,quality
4.4,0.32,0.39,4.3,0.03,127.0,0.98904,3.46,0.36,13.0,8
6.7,0.44,0.22,4.3,0.032,99.0,0.99015,3.26,0.53,13.0,7
6.6,0.36,0.28,6.1,0.029,93.0,0.99054,3.19,0.27,13.0,7
7.0,0.32,0.29,7.6,0.025,124.0,0.99162,3.15,0.65,13.0,7
6.0,0.26,0.29,3.1,0.041,144.0,0.98944,3.22,0.39,13.0,7
3.9,0.225,0.4,4.2,0.03,118.0,0.989,3.57,0.36,13.0,8
6.3,0.41,0.18,3.5,0.027,109.0,0.99018,3.34,0.54,13.0,8
6.6,0.25,0.35,2.9,0.034,121.0,0.99008,3.19,0.4,13.0,6
6.0,0.26,0.29,3.1,0.041,144.0,0.98944,3.22,0.39,13.0,7
6.6,0.44,0.32,3.0,0.095,75.0,0.98954,3.1,0.63,13.0,6
6.2,0.35,0.31,2.6,0.036,92.0,0.98938,3.27,0.53,13.0,7
5.6,0.42,0.34,2.4,0.022,97.0,0.98915,3.22,0.38,13.0,7
8.2,0.32,0.26,2.1,0.062,87.0,0.98974,3.1,0.47,13.0,6
7.2,0.26,0.24,7.0,0.023,130.0,0.99176,3.14,0.49,13.0,7
5.8,0.28,0.34,2.2,0.037,125.0,0.98986,3.36,0.33,13.0,8
7.0,0.32,0.29,7.6,0.025,124.0,0.99162,3.15,0.65,13.0,7
6.4,0.25,0.28,4.9,0.03,98.0,0.99024,3.09,0.58,13.0,7
7.6,0.31,0.49,3.95,0.044,131.0,0.9912,3.08,0.67,13.0,7
6.7,0.31,0.3,2.4,0.038,83.0,0.98867,3.09,0.36,13.0,7
6.7,0.31,0.3,2.4,0.038,83.0,0.98867,3.09,0.36,13.0,7
7.0,0.28,0.32,7.75,0.032,114.0,0.99158,3.12,0.64,13.0,7
5.7,0.28,0.3,3.9,0.026,105.0,0.98963,3.26,0.58,13.0,6
5.8,0.28,0.3,3.9,0.026,105.0,0.98963,3.26,0.58,13.0,6
5.8,0.28,0.3,3.9,0.026,105.0,0.98963,3.26,0.58,13.0,6
6.8,0.32,0.37,3.4,0.023,87.0,0.9902,3.14,0.53,13.0,6
6.5,0.33,0.38,2.5,0.047,148.0,0.98964,3.17,0.43,13.0,6
8.0,0.44,0.49,9.1,0.031,151.0,0.9926,3.16,0.27,13.0,8
6.1,0.21,0.3,6.3,0.039,136.0,0.99068,3.27,0.31,13.0,6
6.1,0.3,0.32,2.2,0.042,142.0,0.98952,3.31,0.44,13.0,7
7.1,0.36,0.37,4.8,0.019,114.0,0.99036,3.08,0.49,13.0,7
7.6,0.27,0.42,2.6,0.044,110.0,0.9912,3.31,0.51,13.0,6
5.9,0.33,0.32,8.1,0.038,34.0,0.9911,3.22,0.36,13.0,7
6.8,0.32,0.37,3.4,0.023,87.0,0.9902,3.14,0.53,13.0,6
8.8,0.33,0.36,2.1,0.034,125.0,0.99166,2.96,0.98,13.0,6
6.4,0.31,0.28,2.5,0.039,137.0,0.98946,3.22,0.38,13.0,6
6.2,0.32,0.32,2.2,0.036,70.0,0.9899,3.16,0.48,13.0,6
6.5,0.32,0.45,7.7,0.022,97.0,0.99134,3.2,0.7,13.0,7
6.0,0.26,0.33,4.35,0.04,80.0,0.98934,3.29,0.5,13.0,6
7.1,0.36,0.37,4.8,0.019,114.0,0.99036,3.08,0.49,13.0,7
6.7,0.24,0.26,5.4,0.03,94.0,0.99045,3.15,0.38,13.0,6
6.9,0.3,0.3,10.55,0.037,28.0,0.99184,3.07,0.32,13.0,6
6.0,0.44,0.26,3.1,0.053,128.0,0.98982,3.22,0.39,13.0,6
7.9,0.44,0.26,4.45,0.033,100.0,0.99117,3.17,0.52,13.0,6
7.0,0.22,0.31,2.7,0.03,136.0,0.9898,3.16,0.37,13.0,7
6.1,0.3,0.3,2.1,0.031,163.0,0.9895,3.39,0.43,13.0,7
6.9,0.36,0.34,4.2,0.018,119.0,0.9898,3.28,0.36,13.0,9
6.5,0.37,0.33,3.9,0.027,130.0,0.9906,3.28,0.39,13.0,7
7.2,0.27,0.37,5.4,0.026,114.0,0.99174,3.13,0.84,13.0,5
7.2,0.2,0.34,2.7,0.032,151.0,0.99,3.16,0.39,13.0,7
7.5,0.33,0.36,2.6,0.051,126.0,0.99097,3.32,0.53,13.0,6
7.1,0.22,0.33,2.8,0.033,153.0,0.9899,3.15,0.38,13.0,7
6.4,0.31,0.28,2.5,0.039,137.0,0.98946,3.22,0.38,13.0,6
6.4,0.4,0.19,3.2,0.033,124.0,0.9904,3.22,0.54,13.0,7
6.3,0.29,0.28,4.7,0.059,81.0,0.99036,3.24,0.56,13.0,8
5.9,0.32,0.33,2.1,0.027,138.0,0.98945,3.37,0.42,13.0,6
7.5,0.35,0.37,2.5,0.066,89.0,0.98964,3.14,0.42,13.0,6
6.1,0.3,0.3,2.1,0.031,163.0,0.9895,3.39,0.43,13.0,7
6.0,0.29,0.27,2.3,0.044,117.0,0.9895,3.31,0.41,13.0,7
6.0,0.31,0.27,2.3,0.042,120.0,0.98952,3.32,0.41,13.0,7
6.0,0.31,0.27,2.3,0.042,120.0,0.98952,3.32,0.41,13.0,7
5.6,0.39,0.24,4.7,0.034,77.0,0.9906,3.28,0.36,13.0,5
8.0,0.45,0.36,8.8,0.026,151.0,0.9927,3.07,0.25,13.0,8
6.4,0.33,0.28,4.0,0.04,81.0,0.9903,3.26,0.64,13.0,7
6.8,0.36,0.24,4.6,0.039,124.0,0.9909,3.27,0.34,13.0,7
8.8,0.33,0.44,6.35,0.024,87.0,0.9917,2.96,0.4,13.0,7
5.6,0.25,0.26,3.6,0.037,115.0,0.9904,3.42,0.5,13.0,6
7.1,0.43,0.3,6.6,0.025,138.0,0.99126,3.18,0.46,13.0,6
7.9,0.44,0.37,5.85,0.033,93.0,0.992,3.16,0.54,13.0,7
6.5,0.3,0.27,4.0,0.038,97.0,0.99026,3.2,0.6,13.0,8
5.6,0.46,0.24,4.8,0.042,72.0,0.9908,3.29,0.37,13.0,6
5.9,0.29,0.28,3.2,0.035,117.0,0.98959,3.26,0.42,13.0,6
6.7,0.24,0.32,9.0,0.023,109.0,0.99262,3.34,0.35,13.0,6
7.6,0.38,0.28,4.2,0.029,112.0,0.9906,3.0,0.41,13.0,6
7.6,0.38,0.28,4.2,0.029,112.0,0.9906,3.0,0.41,13.0,6
5.0,0.27,0.32,4.5,0.032,178.0,0.98956,3.45,0.31,13.0,7
6.8,0.22,0.31,6.3,0.035,170.0,0.9918,3.24,0.66,13.0,6
6.6,0.29,0.31,3.9,0.027,96.0,0.99035,3.24,0.6,13.0,8
6.7,0.24,0.32,9.0,0.023,109.0,0.99262,3.34,0.35,13.0,6
5.4,0.15,0.32,2.5,0.037,51.0,0.98878,3.04,0.58,13.0,6
6.1,0.37,0.36,4.7,0.035,116.0,0.991,3.31,0.62,13.0,6
6.8,0.31,0.3,8.0,0.028,122.0,0.99164,3.13,0.63,13.0,7
6.6,0.34,0.25,4.8,0.038,121.0,0.99198,3.36,0.71,13.0,6
6.8,0.31,0.3,8.0,0.028,122.0,0.99164,3.13,0.63,13.0,7
7.0,0.32,0.27,7.1,0.027,122.0,0.99165,3.15,0.6,13.0,7
6.4,0.29,0.24,3.2,0.037,95.0,0.98942,2.9,0.66,13.0,7
6.5,0.3,0.27,4.0,0.038,97.0,0.99026,3.2,0.6,13.0,8
7.1,0.26,0.37,5.5,0.025,105.0,0.99082,3.06,0.33,13.0,8
7.3,0.3,0.33,2.3,0.043,125.0,0.99084,3.34,0.44,13.0,7
6.5,0.26,0.31,3.6,0.03,92.0,0.99026,3.22,0.62,13.0,8
7.0,0.24,0.36,2.8,0.034,112.0,0.99,3.19,0.38,13.0,8
6.6,0.4,0.3,5.3,0.038,125.0,0.99204,3.36,0.73,13.0,6
6.7,0.46,0.18,2.4,0.034,98.0,0.9896,3.08,0.44,13.0,7
6.8,0.21,0.27,2.1,0.03,139.0,0.99,3.16,0.61,13.0,7
7.3,0.4,0.28,6.5,0.037,97.0,0.99148,3.16,0.58,13.0,7
7.3,0.4,0.28,6.5,0.037,97.0,0.99148,3.16,0.58,13.0,7
7.2,0.4,0.38,2.2,0.03,109.0,0.99075,3.27,0.46,13.0,6
6.4,0.26,0.24,6.4,0.04,124.0,0.9903,3.22,0.49,13.0,7
5.0,0.27,0.32,4.5,0.032,178.0,0.98956,3.45,0.31,13.0,7
6.8,0.32,0.3,3.3,0.029,80.0,0.99061,3.33,0.63,13.0,7
6.8,0.25,0.28,5.0,0.035,126.0,0.99048,3.12,0.38,13.0,7
7.3,0.42,0.38,6.8,0.045,122.0,0.9925,3.19,0.37,13.0,7
6.2,0.36,0.27,3.2,0.032,73.0,0.98942,2.9,0.69,13.0,7
6.8,0.27,0.28,7.8,0.038,89.0,0.9915,3.24,0.34,12.0,6
7.9,0.34,0.44,6.5,0.027,126.0,0.99124,2.96,0.37,12.0,6
7.1,0.21,0.35,2.5,0.04,186.0,0.99128,3.32,0.56,12.0,6
7.0,0.33,0.28,5.7,0.033,204.0,0.99176,3.17,0.64,12.0,6
7.2,0.36,0.36,5.7,0.038,98.0,0.9914,2.93,0.59,12.0,7
7.1,0.32,0.34,14.5,0.039,150.0,0.995,3.38,0.5,12.0,8
6.2,0.19,0.38,5.1,0.019,82.0,0.98961,3.05,0.36,12.0,6
6.5,0.24,0.36,2.2,0.027,134.0,0.9898,3.28,0.36,12.0,7
7.4,0.26,0.32,3.7,0.032,193.0,0.99134,3.1,0.67,12.0,6
6.9,0.26,0.29,4.2,0.043,114.0,0.9902,3.16,0.31,12.0,6
6.4,0.32,0.27,4.9,0.034,122.0,0.9916,3.36,0.71,12.0,6
7.6,0.39,0.32,3.6,0.035,93.0,0.99144,3.08,0.6,12.0,7
6.3,0.41,0.33,4.7,0.023,110.0,0.991,3.3,0.38,12.0,7
6.6,0.32,0.26,4.6,0.031,120.0,0.99198,3.4,0.73,12.0,7
6.4,0.32,0.35,4.8,0.03,101.0,0.9912,3.36,0.6,12.0,8
6.8,0.28,0.43,7.6,0.03,110.0,0.99164,3.08,0.59,12.0,8
6.1,0.28,0.27,4.7,0.03,140.0,0.99042,3.16,0.42,12.0,8
7.6,0.48,0.33,7.0,0.024,130.0,0.9918,3.25,0.45,12.0,7
6.4,0.32,0.27,4.9,0.034,122.0,0.9916,3.36,0.71,12.0,6
7.6,0.39,0.32,3.6,0.035,93.0,0.99144,3.08,0.6,12.0,7
7.0,0.22,0.26,9.2,0.027,122.0,0.99228,3.06,0.34,12.0,8
5.7,0.44,0.13,7.0,0.025,173.0,0.9913,3.33,0.48,12.0,6
6.1,0.28,0.27,4.7,0.03,140.0,0.99042,3.16,0.42,12.0,8
6.8,0.28,0.43,7.6,0.03,110.0,0.99164,3.08,0.59,12.0,8
6.5,0.33,0.3,3.8,0.036,88.0,0.99028,3.25,0.63,12.0,7
6.5,0.33,0.3,3.8,0.036,88.0,0.99028,3.25,0.63,12.0,7
6.9,0.22,0.39,6.0,0.035,141.0,0.99123,3.11,0.33,12.0,6
6.1,0.27,0.33,2.2,0.021,117.0,0.9886,3.12,0.3,12.0,6
6.5,0.33,0.3,3.8,0.036,88.0,0.99028,3.25,0.63,12.0,7
5.4,0.22,0.35,6.5,0.029,87.0,0.99092,3.29,0.44,12.0,7
5.2,0.34,0.37,6.2,0.031,133.0,0.99076,3.25,0.41,12.0,6
8.2,0.34,0.29,5.2,0.076,92.0,0.99138,2.95,0.39,12.0,6
6.9,0.45,0.27,4.7,0.035,80.0,0.99058,3.12,0.36,12.0,7
6.9,0.26,0.29,4.2,0.043,114.0,0.9902,3.16,0.31,12.0,6
7.2,0.36,0.36,5.7,0.038,98.0,0.9914,2.93,0.59,12.0,7
5.9,0.4,0.32,6.0,0.034,127.0,0.992,3.51,0.58,12.0,7
6.4,0.29,0.32,2.4,0.014,89.0,0.99008,3.24,0.66,12.0,7
6.2,0.21,0.34,6.6,0.03,91.0,0.9914,3.32,0.45,12.0,7
6.7,0.36,0.28,8.3,0.034,81.0,0.99151,2.96,0.39,12.0,6
7.0,0.22,0.26,9.2,0.027,122.0,0.99228,3.06,0.34,12.0,8
6.7,0.31,0.32,14.5,0.038,79.0,0.99412,3.14,0.34,12.0,5
6.6,0.38,0.29,2.9,0.035,101.0,0.98916,3.04,0.37,12.0,6
6.6,0.38,0.29,2.9,0.035,101.0,0.98916,3.04,0.37,12.0,6
6.0,0.3,0.33,2.1,0.042,127.0,0.98964,3.32,0.42,12.0,6
6.7,0.36,0.28,8.3,0.034,81.0,0.99151,2.96,0.39,12.0,6
7.9,0.34,0.44,6.5,0.027,126.0,0.99124,2.96,0.37,12.0,6
6.9,0.23,0.34,2.7,0.032,121.0,0.9902,3.14,0.38,12.0,7
8.6,0.485,0.29,4.1,0.026,101.0,0.9918,3.01,0.38,12.0,5
6.7,0.33,0.34,7.5,0.036,124.0,0.99123,2.99,0.32,12.0,8
7.3,0.34,0.39,5.2,0.04,163.0,0.9925,3.3,0.47,12.0,6
7.3,0.17,0.36,8.2,0.028,111.0,0.99272,3.14,0.41,12.0,6
7.3,0.17,0.36,8.2,0.028,111.0,0.99272,3.14,0.41,12.0,6
6.9,0.24,0.37,6.1,0.027,112.0,0.99086,3.19,0.34,12.0,6
6.9,0.36,0.35,8.6,0.038,125.0,0.9916,3.0,0.32,12.0,8
6.4,0.29,0.3,2.9,0.036,79.0,0.99037,3.29,0.6,12.0,7
3.8,0.31,0.02,11.1,0.036,114.0,0.99248,3.75,0.44,12.0,6
7.7,0.35,0.49,8.65,0.033,186.0,0.9931,3.14,0.38,12.0,8
8.6,0.485,0.29,4.1,0.026,101.0,0.9918,3.01,0.38,12.0,5
5.6,0.26,0.0,10.2,0.038,111.0,0.99315,3.44,0.46,12.0,6
6.1,0.18,0.38,2.3,0.033,111.0,0.98962,3.16,0.49,12.0,6
7.0,0.3,0.49,4.7,0.036,105.0,0.9916,3.26,0.68,12.0,7
6.5,0.43,0.28,11.25,0.032,87.0,0.9922,3.02,0.38,12.0,6
6.8,0.32,0.23,3.3,0.026,99.0,0.9896,3.1,0.4,12.0,6
5.2,0.31,0.36,5.1,0.031,145.0,0.9897,3.14,0.31,12.0,7
6.7,0.46,0.27,5.2,0.039,96.0,0.99129,3.16,0.44,12.0,7
6.5,0.43,0.28,11.25,0.032,87.0,0.9922,3.02,0.38,12.0,6
6.8,0.32,0.28,4.8,0.034,100.0,0.99026,3.08,0.47,12.0,7
6.1,0.38,0.42,5.0,0.016,113.0,0.99007,3.15,0.31,12.0,7
5.7,0.4,0.35,5.1,0.026,113.0,0.99052,3.18,0.67,12.0,6
6.2,0.3,0.33,3.5,0.037,155.0,0.98987,3.18,0.37,12.0,6
5.7,0.4,0.35,5.1,0.026,113.0,0.99052,3.18,0.67,12.0,6
7.9,0.41,0.37,4.5,0.03,114.0,0.992,3.17,0.54,12.0,7
6.8,0.37,0.28,4.0,0.03,79.0,0.99,3.23,0.46,12.0,7
6.2,0.32,0.45,2.9,0.029,94.0,0.98998,3.25,0.6,12.0,6
6.8,0.28,0.35,2.3,0.042,85.0,0.9906,3.19,0.56,12.0,6
6.8,0.45,0.36,5.0,0.033,156.0,0.991,3.11,0.4,12.0,7
5.2,0.285,0.29,5.15,0.035,138.0,0.9895,3.19,0.34,12.0,8
6.7,0.38,0.26,9.55,0.036,91.0,0.9919,2.98,0.37,12.0,6
7.6,0.27,0.34,5.0,0.04,56.0,0.99084,3.06,0.48,12.0,6
5.8,0.28,0.27,2.6,0.054,156.0,0.9914,3.53,0.42,12.0,5
7.6,0.37,0.34,3.2,0.028,162.0,0.9903,3.01,0.33,12.0,6
6.4,0.32,0.25,5.0,0.055,138.0,0.99171,3.27,0.5,12.0,8
6.5,0.36,0.28,3.2,0.037,119.0,0.9908,3.25,0.65,12.0,8
6.2,0.47,0.19,8.3,0.029,142.0,0.992,3.22,0.45,12.0,6
6.6,0.34,0.24,3.3,0.034,99.0,0.99031,3.1,0.4,12.0,7
5.7,0.43,0.3,5.7,0.039,98.0,0.992,3.54,0.61,12.0,7
5.8,0.29,0.33,3.7,0.029,88.0,0.98994,3.25,0.42,12.0,6
6.1,0.24,0.32,9.0,0.031,134.0,0.99234,3.25,0.26,12.0,7
6.1,0.34,0.46,4.7,0.029,94.0,0.991,3.29,0.62,12.0,6
6.0,0.17,0.29,5.0,0.028,108.0,0.99076,3.14,0.34,12.0,6
6.0,0.38,0.26,6.0,0.034,134.0,0.9912,3.38,0.38,12.0,7
6.5,0.38,0.26,5.2,0.042,112.0,0.99067,3.06,0.5,12.0,7
6.9,0.3,0.33,4.1,0.035,155.0,0.9925,3.25,0.79,12.0,8
7.0,0.25,0.33,2.1,0.021,76.0,0.99021,3.26,0.45,12.0,6
8.0,0.42,0.36,5.0,0.037,101.0,0.992,3.13,0.57,12.0,7
7.2,0.34,0.44,4.2,0.047,144.0,0.991,3.01,0.76,12.0,6
7.6,0.4,0.27,5.2,0.03,101.0,0.99172,3.22,0.62,12.0,7
6.1,0.34,0.46,4.7,0.029,94.0,0.991,3.29,0.62,12.0,6
7.1,0.33,0.3,3.3,0.034,102.0,0.9912,3.08,0.31,12.0,7
